call_id,timestamp,customer_id,provider_id,specialty,outcome,call_duration_s,api_latency_ms,workflow_steps_completed,error_code
CALL-01794,2026-02-09T07:45:44,CUS-104,PRV-045,Pediatrics,SCHEDULED,235,213,3,
CALL-00315,2026-02-09T07:52:29,CUS-105,PRV-019,Internal Medicine,SCHEDULED,508,329,5,
CALL-00147,2026-02-09T07:55:51,CUS-102,PRV-034,Neurology,SCHEDULED,366,721,6,
CALL-01596,2026-02-09T07:59:59,CUS-103,PRV-021,Cardiology,SCHEDULED,170,545,7,
CALL-00639,2026-02-09T08:00:09,CUS-105,PRV-008,Dermatology,SCHEDULED,121,535,1,
CALL-01133,2026-02-09T08:09:47,CUS-105,PRV-018,Cardiology,SCHEDULED,238,695,5,
CALL-00855,2026-02-09T08:15:10,CUS-103,PRV-047,Family Medicine,NO_AVAILABILITY,496,97,7,ERR-7390
CALL-01271,2026-02-09T08:16:59,CUS-101,PRV-045,Pediatrics,SCHEDULED,563,467,6,
CALL-00801,2026-02-09T08:20:23,CUS-101,PRV-010,Dermatology,SCHEDULED,95,395,6,
CALL-00433,2026-02-09T08:21:47,CUS-105,PRV-013,Dermatology,TRANSFER,145,370,4,
CALL-01381,2026-02-09T08:24:25,CUS-101,PRV-009,Internal Medicine,SCHEDULED,47,507,2,
CALL-00061,2026-02-09T08:27:25,CUS-102,PRV-046,Family Medicine,TRANSFER,334,390,7,
CALL-01593,2026-02-09T08:31:12,CUS-102,PRV-042,Cardiology,CALL_FAILED,435,399,6,ERR-3418
CALL-00577,2026-02-09T08:31:54,CUS-103,PRV-014,Oncology,SCHEDULED,37,473,1,
CALL-01447,2026-02-09T08:39:08,CUS-105,PRV-044,Internal Medicine,SCHEDULED,504,419,2,
CALL-00414,2026-02-09T08:40:36,CUS-103,PRV-010,Pediatrics,TOOL_ERROR,422,765,2,ERR-1105
CALL-00968,2026-02-09T08:43:04,CUS-104,PRV-034,Cardiology,TRANSFER,188,791,3,
CALL-00412,2026-02-09T08:49:05,CUS-104,PRV-026,Dermatology,TRANSFER,208,483,2,
CALL-01842,2026-02-09T09:01:41,CUS-103,PRV-035,Neurology,SCHEDULED,454,495,7,
CALL-01483,2026-02-09T09:07:41,CUS-105,PRV-032,Cardiology,SCHEDULED,175,630,2,
CALL-00956,2026-02-09T09:09:38,CUS-102,PRV-040,Pediatrics,PATIENT_HANGUP,447,746,5,
CALL-00209,2026-02-09T09:12:01,CUS-102,PRV-020,Family Medicine,SCHEDULED,461,482,6,
CALL-00215,2026-02-09T09:13:17,CUS-104,PRV-027,Pediatrics,PATIENT_HANGUP,72,552,5,
CALL-00784,2026-02-09T09:15:54,CUS-102,PRV-028,Dermatology,TOOL_ERROR,172,751,3,ERR-7131
CALL-00145,2026-02-09T09:17:07,CUS-102,PRV-032,Internal Medicine,PATIENT_HANGUP,548,692,1,
CALL-00384,2026-02-09T09:18:07,CUS-105,PRV-048,Oncology,SCHEDULED,26,743,3,
CALL-00309,2026-02-09T09:19:26,CUS-102,PRV-004,Neurology,SCHEDULED,74,355,4,
CALL-00769,2026-02-09T09:20:37,CUS-101,PRV-050,Internal Medicine,TIMEOUT,237,50904,3,ERR-8542
CALL-00646,2026-02-09T09:22:32,CUS-105,PRV-014,Neurology,PATIENT_HANGUP,552,449,5,
CALL-00997,2026-02-09T09:23:04,CUS-102,PRV-037,Orthopedics,TOOL_ERROR,92,59,3,ERR-1220
CALL-00620,2026-02-09T09:26:54,CUS-102,PRV-043,Internal Medicine,SCHEDULED,46,300,5,
CALL-00606,2026-02-09T09:29:56,CUS-101,PRV-048,Dermatology,SCHEDULED,486,241,3,
CALL-00878,2026-02-09T09:33:09,CUS-102,PRV-045,Family Medicine,TOOL_ERROR,77,660,1,ERR-5801
CALL-00500,2026-02-09T09:36:13,CUS-105,PRV-045,Cardiology,PATIENT_HANGUP,540,516,5,
CALL-00276,2026-02-09T09:40:07,CUS-102,PRV-024,Internal Medicine,TOOL_ERROR,467,568,2,ERR-2626
CALL-00647,2026-02-09T09:41:09,CUS-103,PRV-042,Neurology,SCHEDULED,158,335,7,
CALL-00866,2026-02-09T09:41:36,CUS-103,PRV-030,Oncology,PATIENT_HANGUP,426,638,3,
CALL-00659,2026-02-09T09:50:33,CUS-103,PRV-007,Dermatology,SCHEDULED,67,665,5,
CALL-00180,2026-02-09T09:53:22,CUS-104,PRV-028,Orthopedics,TRANSFER,432,165,7,
CALL-01285,2026-02-09T09:53:49,CUS-102,PRV-019,Internal Medicine,TOOL_ERROR,455,463,3,ERR-1897
CALL-00263,2026-02-09T09:57:09,CUS-104,PRV-032,Family Medicine,SCHEDULED,475,649,2,
CALL-00558,2026-02-09T09:57:29,CUS-102,PRV-032,Neurology,SCHEDULED,431,319,5,
CALL-00778,2026-02-09T09:58:22,CUS-103,PRV-011,Family Medicine,TRANSFER,37,499,7,
CALL-01658,2026-02-09T10:01:14,CUS-102,PRV-017,Oncology,SCHEDULED,84,758,1,
CALL-01351,2026-02-09T10:08:41,CUS-101,PRV-021,Neurology,SCHEDULED,20,381,3,
CALL-00239,2026-02-09T10:09:03,CUS-102,PRV-012,Cardiology,SCHEDULED,182,772,4,
CALL-00210,2026-02-09T10:10:17,CUS-102,PRV-002,Pediatrics,TIMEOUT,299,51583,5,ERR-3883
CALL-01747,2026-02-09T10:12:07,CUS-105,PRV-014,Oncology,SCHEDULED,85,754,2,
CALL-00390,2026-02-09T10:13:06,CUS-103,PRV-021,Internal Medicine,SCHEDULED,338,62,4,
CALL-00691,2026-02-09T10:13:20,CUS-105,PRV-024,Oncology,SCHEDULED,451,339,2,
CALL-00840,2026-02-09T10:14:15,CUS-105,PRV-049,Family Medicine,SCHEDULED,564,102,3,
CALL-01278,2026-02-09T10:19:57,CUS-105,PRV-001,Family Medicine,TIMEOUT,365,39779,2,ERR-8813
CALL-01128,2026-02-09T10:27:49,CUS-102,PRV-029,Internal Medicine,TRANSFER,324,455,2,
CALL-00923,2026-02-09T10:35:09,CUS-103,PRV-002,Family Medicine,SCHEDULED,239,301,2,
CALL-01671,2026-02-09T10:44:22,CUS-105,PRV-027,Cardiology,CALL_FAILED,90,515,7,ERR-1810
CALL-01773,2026-02-09T10:44:22,CUS-105,PRV-047,Oncology,TRANSFER,229,411,2,
CALL-00113,2026-02-09T10:44:41,CUS-102,PRV-001,Internal Medicine,TRANSFER,329,149,4,
CALL-01977,2026-02-09T10:45:15,CUS-104,PRV-018,Oncology,TRANSFER,266,266,1,
CALL-01231,2026-02-09T10:47:44,CUS-105,PRV-008,Family Medicine,SCHEDULED,153,104,5,
CALL-01171,2026-02-09T10:52:28,CUS-102,PRV-026,Cardiology,SCHEDULED,92,330,5,
CALL-01769,2026-02-09T10:54:34,CUS-102,PRV-037,Family Medicine,SCHEDULED,337,407,1,
CALL-01138,2026-02-09T11:00:08,CUS-102,PRV-027,Orthopedics,SCHEDULED,170,487,5,
CALL-01385,2026-02-09T11:01:50,CUS-105,PRV-044,Oncology,TRANSFER,158,395,7,
CALL-01427,2026-02-09T11:02:37,CUS-103,PRV-015,Dermatology,SCHEDULED,105,644,4,
CALL-01825,2026-02-09T11:07:25,CUS-101,PRV-002,Dermatology,SCHEDULED,170,290,2,
CALL-00009,2026-02-09T11:10:03,CUS-103,PRV-013,Pediatrics,SCHEDULED,23,118,4,
CALL-01971,2026-02-09T11:14:29,CUS-105,PRV-034,Pediatrics,SCHEDULED,483,102,4,
CALL-01651,2026-02-09T11:14:42,CUS-104,PRV-046,Oncology,TRANSFER,420,603,7,
CALL-01519,2026-02-09T11:21:02,CUS-102,PRV-023,Oncology,SCHEDULED,202,120,4,
CALL-00159,2026-02-09T11:22:22,CUS-103,PRV-029,Dermatology,SCHEDULED,469,475,7,
CALL-00952,2026-02-09T11:24:12,CUS-103,PRV-035,Cardiology,PATIENT_HANGUP,459,570,5,
CALL-01077,2026-02-09T11:27:35,CUS-104,PRV-005,Dermatology,SCHEDULED,381,536,4,
CALL-00253,2026-02-09T11:29:27,CUS-101,PRV-031,Pediatrics,SCHEDULED,145,750,3,
CALL-01551,2026-02-09T11:29:29,CUS-101,PRV-045,Internal Medicine,SCHEDULED,470,167,1,
CALL-00249,2026-02-09T11:31:51,CUS-104,PRV-048,Pediatrics,PATIENT_HANGUP,149,417,6,
CALL-00324,2026-02-09T11:31:57,CUS-105,PRV-014,Cardiology,SCHEDULED,420,163,7,
CALL-01383,2026-02-09T11:36:12,CUS-104,PRV-025,Neurology,SCHEDULED,28,726,2,
CALL-01268,2026-02-09T11:38:04,CUS-101,PRV-034,Pediatrics,SCHEDULED,314,281,2,
CALL-01983,2026-02-09T11:41:54,CUS-105,PRV-028,Dermatology,TRANSFER,426,749,6,
CALL-01066,2026-02-09T11:44:30,CUS-104,PRV-049,Dermatology,SCHEDULED,374,751,4,
CALL-00394,2026-02-09T12:01:38,CUS-105,PRV-029,Oncology,TRANSFER,253,565,5,
CALL-00310,2026-02-09T12:09:26,CUS-103,PRV-017,Oncology,NO_AVAILABILITY,138,103,2,ERR-4925
CALL-01831,2026-02-09T12:13:20,CUS-102,PRV-018,Oncology,SCHEDULED,472,379,4,
CALL-00603,2026-02-09T12:13:52,CUS-105,PRV-049,Neurology,TOOL_ERROR,334,775,2,ERR-3523
CALL-01991,2026-02-09T12:16:38,CUS-105,PRV-011,Pediatrics,SCHEDULED,539,334,6,
CALL-00298,2026-02-09T12:19:23,CUS-103,PRV-019,Family Medicine,SCHEDULED,161,195,7,
CALL-01766,2026-02-09T12:20:09,CUS-105,PRV-028,Oncology,TRANSFER,241,432,1,
CALL-00876,2026-02-09T12:23:19,CUS-101,PRV-028,Pediatrics,SCHEDULED,101,716,6,
CALL-01428,2026-02-09T12:27:02,CUS-104,PRV-036,Orthopedics,SCHEDULED,305,740,7,
CALL-00273,2026-02-09T12:27:07,CUS-105,PRV-015,Dermatology,TRANSFER,513,314,3,
CALL-01803,2026-02-09T12:29:30,CUS-105,PRV-021,Cardiology,SCHEDULED,521,299,2,
CALL-00182,2026-02-09T12:31:07,CUS-104,PRV-019,Family Medicine,TRANSFER,334,753,7,
CALL-01845,2026-02-09T12:31:46,CUS-102,PRV-047,Pediatrics,SCHEDULED,167,315,2,
CALL-00837,2026-02-09T12:32:04,CUS-103,PRV-036,Dermatology,NO_AVAILABILITY,72,507,5,ERR-9567
CALL-00525,2026-02-09T12:35:30,CUS-102,PRV-008,Cardiology,PATIENT_HANGUP,384,192,3,
CALL-00692,2026-02-09T12:38:50,CUS-103,PRV-022,Oncology,PATIENT_HANGUP,398,531,3,
CALL-01391,2026-02-09T12:39:10,CUS-104,PRV-015,Family Medicine,SCHEDULED,185,663,5,
CALL-01102,2026-02-09T12:39:46,CUS-103,PRV-019,Oncology,SCHEDULED,240,683,5,
CALL-00777,2026-02-09T12:44:06,CUS-103,PRV-001,Internal Medicine,SCHEDULED,357,394,6,
CALL-01265,2026-02-09T12:49:26,CUS-101,PRV-036,Internal Medicine,PATIENT_HANGUP,551,63,2,
CALL-01213,2026-02-09T12:49:44,CUS-105,PRV-027,Neurology,SCHEDULED,213,241,1,
CALL-01700,2026-02-09T12:51:11,CUS-103,PRV-016,Orthopedics,TRANSFER,16,413,5,
CALL-01627,2026-02-09T12:53:01,CUS-103,PRV-032,Oncology,SCHEDULED,304,626,6,
CALL-00597,2026-02-09T12:55:44,CUS-104,PRV-015,Internal Medicine,SCHEDULED,392,600,1,
CALL-00883,2026-02-09T12:57:14,CUS-101,PRV-027,Dermatology,SCHEDULED,502,525,4,
CALL-00846,2026-02-09T12:57:32,CUS-104,PRV-032,Internal Medicine,SCHEDULED,457,739,3,
CALL-00234,2026-02-09T12:59:15,CUS-104,PRV-023,Cardiology,SCHEDULED,531,684,4,
CALL-00983,2026-02-09T12:59:57,CUS-103,PRV-013,Internal Medicine,NO_AVAILABILITY,329,117,3,ERR-6169
CALL-01459,2026-02-09T13:01:06,CUS-101,PRV-012,Pediatrics,TOOL_ERROR,117,144,2,ERR-9247
CALL-01067,2026-02-09T13:02:31,CUS-101,PRV-031,Pediatrics,TRANSFER,99,301,6,
CALL-01088,2026-02-09T13:04:35,CUS-101,PRV-046,Internal Medicine,TOOL_ERROR,55,428,2,ERR-7443
CALL-01742,2026-02-09T13:07:32,CUS-103,PRV-032,Neurology,TRANSFER,474,118,1,
CALL-01121,2026-02-09T13:08:10,CUS-101,PRV-031,Internal Medicine,PATIENT_HANGUP,262,673,7,
CALL-01733,2026-02-09T13:09:50,CUS-102,PRV-008,Neurology,PATIENT_HANGUP,461,539,2,
CALL-00330,2026-02-09T13:12:21,CUS-101,PRV-037,Cardiology,NO_AVAILABILITY,246,756,4,ERR-2219
CALL-01246,2026-02-09T13:13:15,CUS-104,PRV-039,Family Medicine,TRANSFER,32,689,7,
CALL-01250,2026-02-09T13:17:15,CUS-102,PRV-044,Dermatology,SCHEDULED,424,683,6,
CALL-00334,2026-02-09T13:20:56,CUS-101,PRV-009,Cardiology,PATIENT_HANGUP,467,106,3,
CALL-00342,2026-02-09T13:22:12,CUS-102,PRV-041,Orthopedics,TIMEOUT,364,36204,6,ERR-8794
CALL-00101,2026-02-09T13:24:21,CUS-101,PRV-017,Pediatrics,SCHEDULED,86,553,2,
CALL-01541,2026-02-09T13:31:29,CUS-104,PRV-049,Internal Medicine,SCHEDULED,23,273,2,
CALL-01317,2026-02-09T13:34:09,CUS-101,PRV-043,Internal Medicine,SCHEDULED,372,385,6,
CALL-01222,2026-02-09T13:44:22,CUS-103,PRV-049,Family Medicine,TRANSFER,183,77,6,
CALL-00106,2026-02-09T13:44:52,CUS-104,PRV-008,Neurology,SCHEDULED,325,460,1,
CALL-01020,2026-02-09T13:48:09,CUS-105,PRV-021,Dermatology,TRANSFER,488,667,6,
CALL-00131,2026-02-09T13:54:33,CUS-104,PRV-014,Family Medicine,PATIENT_HANGUP,300,64,6,
CALL-01961,2026-02-09T13:54:44,CUS-102,PRV-017,Pediatrics,SCHEDULED,61,334,4,
CALL-00373,2026-02-09T13:57:55,CUS-102,PRV-009,Orthopedics,SCHEDULED,501,212,5,
CALL-00785,2026-02-09T14:10:22,CUS-101,PRV-031,Oncology,CALL_FAILED,498,734,4,ERR-8593
CALL-01889,2026-02-09T14:13:03,CUS-105,PRV-030,Dermatology,SCHEDULED,284,717,4,
CALL-00063,2026-02-09T14:19:43,CUS-104,PRV-031,Orthopedics,NO_AVAILABILITY,162,681,3,ERR-6954
CALL-01932,2026-02-09T14:23:14,CUS-104,PRV-009,Oncology,PATIENT_HANGUP,295,534,3,
CALL-01399,2026-02-09T14:25:17,CUS-101,PRV-032,Internal Medicine,SCHEDULED,58,607,1,
CALL-00497,2026-02-09T14:26:33,CUS-105,PRV-002,Internal Medicine,TRANSFER,147,346,1,
CALL-01112,2026-02-09T14:27:46,CUS-104,PRV-028,Dermatology,SCHEDULED,371,284,3,
CALL-00084,2026-02-09T14:29:32,CUS-104,PRV-037,Neurology,SCHEDULED,316,346,2,
CALL-00134,2026-02-09T14:31:15,CUS-101,PRV-036,Cardiology,CALL_FAILED,431,273,2,ERR-6872
CALL-01502,2026-02-09T14:31:29,CUS-103,PRV-046,Dermatology,CALL_FAILED,156,549,3,ERR-7309
CALL-00034,2026-02-09T14:31:54,CUS-104,PRV-035,Cardiology,TRANSFER,520,293,2,
CALL-01305,2026-02-09T14:34:59,CUS-101,PRV-030,Cardiology,SCHEDULED,183,744,1,
CALL-00607,2026-02-09T14:42:33,CUS-104,PRV-023,Pediatrics,SCHEDULED,578,136,3,
CALL-00041,2026-02-09T14:46:44,CUS-105,PRV-046,Pediatrics,SCHEDULED,339,315,5,
CALL-01392,2026-02-09T14:46:46,CUS-101,PRV-028,Oncology,PATIENT_HANGUP,37,472,2,
CALL-01490,2026-02-09T14:53:48,CUS-104,PRV-012,Cardiology,SCHEDULED,300,387,6,
CALL-00872,2026-02-09T14:55:47,CUS-102,PRV-025,Cardiology,SCHEDULED,423,253,2,
CALL-00344,2026-02-09T14:56:50,CUS-101,PRV-032,Orthopedics,PATIENT_HANGUP,243,759,2,
CALL-00461,2026-02-09T15:07:43,CUS-105,PRV-027,Dermatology,SCHEDULED,106,421,3,
CALL-01838,2026-02-09T15:07:43,CUS-104,PRV-005,Internal Medicine,TIMEOUT,350,41336,5,ERR-1293
CALL-01559,2026-02-09T15:08:10,CUS-104,PRV-011,Cardiology,SCHEDULED,579,268,5,
CALL-01986,2026-02-09T15:09:26,CUS-103,PRV-050,Orthopedics,TOOL_ERROR,253,524,1,ERR-8496
CALL-00121,2026-02-09T15:15:12,CUS-101,PRV-034,Dermatology,TRANSFER,567,569,2,
CALL-00502,2026-02-09T15:15:18,CUS-101,PRV-041,Internal Medicine,NO_AVAILABILITY,299,186,3,ERR-1844
CALL-00014,2026-02-09T15:17:14,CUS-102,PRV-022,Oncology,CALL_FAILED,104,797,4,ERR-9531
CALL-01555,2026-02-09T15:27:13,CUS-105,PRV-024,Neurology,TRANSFER,98,797,5,
CALL-01817,2026-02-09T15:33:17,CUS-103,PRV-030,Pediatrics,SCHEDULED,251,498,7,
CALL-00031,2026-02-09T15:45:24,CUS-105,PRV-040,Internal Medicine,SCHEDULED,404,94,7,
CALL-00105,2026-02-09T15:45:49,CUS-104,PRV-031,Oncology,SCHEDULED,86,603,2,
CALL-00732,2026-02-09T15:46:45,CUS-104,PRV-002,Cardiology,TOOL_ERROR,569,669,1,ERR-2565
CALL-00864,2026-02-09T15:49:07,CUS-105,PRV-011,Dermatology,TRANSFER,494,674,6,
CALL-00775,2026-02-09T15:49:13,CUS-103,PRV-014,Family Medicine,SCHEDULED,133,579,6,
CALL-00557,2026-02-09T15:50:57,CUS-105,PRV-013,Dermatology,TOOL_ERROR,163,381,3,ERR-6185
CALL-01274,2026-02-09T15:56:13,CUS-103,PRV-025,Oncology,PATIENT_HANGUP,105,77,4,
CALL-01194,2026-02-09T16:00:06,CUS-104,PRV-003,Family Medicine,TIMEOUT,430,47759,1,ERR-5330
CALL-01202,2026-02-09T16:00:41,CUS-102,PRV-046,Dermatology,PATIENT_HANGUP,29,473,1,
CALL-01045,2026-02-09T16:03:54,CUS-101,PRV-018,Cardiology,SCHEDULED,405,796,5,
CALL-01153,2026-02-09T16:05:02,CUS-105,PRV-001,Orthopedics,TIMEOUT,415,57007,4,ERR-2761
CALL-01379,2026-02-09T16:07:09,CUS-104,PRV-004,Internal Medicine,TOOL_ERROR,133,262,1,ERR-2934
CALL-01016,2026-02-09T16:08:33,CUS-103,PRV-022,Neurology,TIMEOUT,146,42109,5,ERR-8758
CALL-00326,2026-02-09T16:08:47,CUS-101,PRV-009,Pediatrics,NO_AVAILABILITY,248,585,6,ERR-5494
CALL-01306,2026-02-09T16:10:00,CUS-104,PRV-008,Orthopedics,TOOL_ERROR,258,575,3,ERR-6206
CALL-00120,2026-02-09T16:11:45,CUS-104,PRV-040,Dermatology,TRANSFER,323,406,4,
CALL-00088,2026-02-09T16:11:58,CUS-105,PRV-048,Internal Medicine,CALL_FAILED,393,229,3,ERR-4869
CALL-01954,2026-02-09T16:14:24,CUS-101,PRV-045,Cardiology,SCHEDULED,36,591,2,
CALL-01598,2026-02-09T16:19:14,CUS-105,PRV-045,Dermatology,TOOL_ERROR,237,457,3,ERR-2422
CALL-00517,2026-02-09T16:21:07,CUS-103,PRV-006,Cardiology,TRANSFER,197,488,5,
CALL-01367,2026-02-09T16:21:16,CUS-103,PRV-037,Family Medicine,TRANSFER,134,234,4,
CALL-01861,2026-02-09T16:28:35,CUS-105,PRV-040,Cardiology,SCHEDULED,297,83,1,
CALL-00696,2026-02-09T16:30:42,CUS-105,PRV-034,Family Medicine,SCHEDULED,214,639,3,
CALL-00662,2026-02-09T16:30:59,CUS-103,PRV-042,Cardiology,SCHEDULED,446,317,2,
CALL-00643,2026-02-09T16:31:23,CUS-103,PRV-026,Oncology,CALL_FAILED,124,525,4,ERR-7960
CALL-00537,2026-02-09T16:36:02,CUS-105,PRV-031,Cardiology,SCHEDULED,110,366,1,
CALL-01755,2026-02-09T16:37:36,CUS-105,PRV-002,Cardiology,SCHEDULED,560,659,5,
CALL-01386,2026-02-09T16:42:20,CUS-102,PRV-010,Pediatrics,SCHEDULED,32,655,2,
CALL-01780,2026-02-09T16:44:29,CUS-103,PRV-041,Orthopedics,SCHEDULED,321,469,7,
CALL-00336,2026-02-09T16:48:26,CUS-102,PRV-039,Cardiology,SCHEDULED,490,488,5,
CALL-00867,2026-02-09T16:53:24,CUS-101,PRV-001,Orthopedics,SCHEDULED,169,315,7,
CALL-00297,2026-02-09T16:54:26,CUS-101,PRV-008,Neurology,TRANSFER,56,585,2,
CALL-00096,2026-02-09T17:00:53,CUS-101,PRV-001,Oncology,SCHEDULED,121,751,4,
CALL-00045,2026-02-09T17:12:44,CUS-103,PRV-017,Dermatology,SCHEDULED,533,613,3,
CALL-01727,2026-02-09T17:22:46,CUS-104,PRV-049,Oncology,SCHEDULED,379,710,2,
CALL-00609,2026-02-09T17:24:46,CUS-104,PRV-013,Pediatrics,SCHEDULED,195,658,3,
CALL-00410,2026-02-09T17:24:59,CUS-104,PRV-048,Orthopedics,SCHEDULED,50,420,6,
CALL-01467,2026-02-09T17:27:16,CUS-103,PRV-042,Neurology,SCHEDULED,493,396,6,
CALL-00141,2026-02-09T17:30:47,CUS-105,PRV-045,Orthopedics,TOOL_ERROR,245,378,2,ERR-5380
CALL-01197,2026-02-09T17:33:56,CUS-103,PRV-037,Orthopedics,SCHEDULED,258,110,4,
CALL-00370,2026-02-09T17:35:11,CUS-101,PRV-045,Family Medicine,SCHEDULED,218,121,4,
CALL-01223,2026-02-09T17:36:01,CUS-103,PRV-013,Internal Medicine,PATIENT_HANGUP,254,96,6,
CALL-01034,2026-02-09T17:43:35,CUS-101,PRV-004,Orthopedics,SCHEDULED,58,274,7,
CALL-01553,2026-02-09T17:50:38,CUS-102,PRV-005,Neurology,PATIENT_HANGUP,552,177,5,
CALL-01196,2026-02-09T17:51:01,CUS-104,PRV-014,Internal Medicine,SCHEDULED,536,294,4,
CALL-01999,2026-02-09T17:54:01,CUS-104,PRV-010,Neurology,NO_AVAILABILITY,203,706,6,ERR-8650
CALL-00303,2026-02-09T17:56:28,CUS-103,PRV-042,Dermatology,PATIENT_HANGUP,40,635,6,
CALL-00275,2026-02-09T18:03:59,CUS-104,PRV-030,Dermatology,NO_AVAILABILITY,119,625,1,ERR-9311
CALL-00247,2026-02-09T18:04:35,CUS-105,PRV-025,Dermatology,SCHEDULED,197,295,7,
CALL-00261,2026-02-09T18:12:54,CUS-101,PRV-014,Family Medicine,TRANSFER,262,496,7,
CALL-01868,2026-02-09T18:14:29,CUS-101,PRV-027,Dermatology,SCHEDULED,580,756,5,
CALL-01753,2026-02-09T18:30:28,CUS-104,PRV-011,Oncology,TRANSFER,81,367,2,
CALL-01834,2026-02-09T18:32:09,CUS-102,PRV-042,Orthopedics,TRANSFER,310,51,2,
CALL-01049,2026-02-09T18:36:30,CUS-101,PRV-047,Internal Medicine,SCHEDULED,422,744,4,
CALL-00258,2026-02-09T18:38:16,CUS-101,PRV-028,Cardiology,SCHEDULED,134,63,2,
CALL-00256,2026-02-09T18:42:29,CUS-102,PRV-012,Oncology,SCHEDULED,441,771,3,
CALL-01698,2026-02-09T18:44:47,CUS-102,PRV-046,Cardiology,SCHEDULED,371,251,6,
CALL-00761,2026-02-09T18:45:16,CUS-103,PRV-041,Cardiology,NO_AVAILABILITY,46,785,4,ERR-8446
CALL-01030,2026-02-09T18:45:45,CUS-102,PRV-032,Dermatology,PATIENT_HANGUP,158,205,1,
CALL-01860,2026-02-09T18:46:41,CUS-105,PRV-025,Cardiology,NO_AVAILABILITY,222,217,1,ERR-4303
CALL-00085,2026-02-09T18:59:38,CUS-103,PRV-047,Pediatrics,SCHEDULED,499,642,2,
CALL-01457,2026-02-09T18:59:43,CUS-104,PRV-011,Internal Medicine,SCHEDULED,170,351,2,
CALL-01165,2026-02-09T19:00:40,CUS-103,PRV-046,Neurology,TIMEOUT,396,41048,1,ERR-2713
CALL-00727,2026-02-09T19:24:05,CUS-103,PRV-023,Dermatology,CALL_FAILED,546,265,3,ERR-9773
CALL-01442,2026-02-09T19:33:08,CUS-103,PRV-039,Cardiology,TRANSFER,17,460,4,
CALL-00110,2026-02-09T19:34:41,CUS-103,PRV-032,Family Medicine,NO_AVAILABILITY,31,87,3,ERR-1918
CALL-00664,2026-02-09T19:36:57,CUS-105,PRV-045,Cardiology,SCHEDULED,87,476,5,
CALL-00333,2026-02-09T19:38:39,CUS-104,PRV-049,Dermatology,TRANSFER,142,137,1,
CALL-01869,2026-02-09T19:39:30,CUS-102,PRV-009,Orthopedics,CALL_FAILED,408,307,4,ERR-9034
CALL-01328,2026-02-09T19:41:34,CUS-103,PRV-044,Cardiology,SCHEDULED,205,748,6,
CALL-01425,2026-02-09T19:41:42,CUS-101,PRV-011,Family Medicine,CALL_FAILED,291,219,5,ERR-7938
CALL-00963,2026-02-09T19:44:51,CUS-101,PRV-016,Oncology,TRANSFER,463,196,4,
CALL-01192,2026-02-09T19:45:35,CUS-105,PRV-045,Pediatrics,PATIENT_HANGUP,319,152,4,
CALL-01150,2026-02-09T19:47:00,CUS-102,PRV-035,Oncology,SCHEDULED,109,764,6,
